factor,ic,icir,monotonic_ret,ic1,ic5,ic10,ic20,ic_bull,ic_bear
momentum_5,-0.08347717976745876,-0.9692259979704685,-0.004655554196988806,-0.03281532469058721,-0.08347717976745876,-0.03080765599525977,-0.00962001130169309,-0.045026527361457444,-0.17279515110727192
momentum_20,-0.03258810908515645,-1.0847479846542651,-0.0015409593181143766,-0.000604806828063558,-0.03258810908515645,-0.01008976527400968,-0.009760641973628652,0.018562645592984275,-0.13027192948258917
momentum_60,-0.06241371755672113,-0.9744836503694595,-0.0030023410346913656,-0.0008748805888329675,-0.06241371755672113,-0.08502529764534653,-0.12296622841963441,-0.016801239669498154,0.1309541640933256
reversal_5,0.08347717976745876,0.9692259979704684,0.004655554196988806,0.03281532469058721,0.08347717976745876,0.03080765599525977,0.00962001130169309,0.045026527361457444,0.17279515110727192
volatility_20,0.0850708904724852,0.19142505129901652,0.0038625746975085723,0.03324855209667406,0.0850708904724852,0.11887582059377969,0.09121417694066188,-0.044326554623054445,0.1677312262372043
volume_ratio,0.0032688882134517005,0.03744603394060667,0.004036236159031982,0.02311006410052483,0.0032688882134517005,-0.006426405183614632,0.01854258251978356,0.021183026793043996,0.05321942922098042
liquidity,-0.031710474354022626,0.03681259495126211,-0.0016152331641711717,0.0004215407833998531,-0.031710474354022626,-0.04634881429330683,-0.11157325262471851,-0.010157543908826549,0.11944235271426787
intraday_range,0.0326417497367168,0.163642871055016,0.0030797361588844564,-0.0031200113978757807,0.0326417497367168,0.053208665411180384,0.04502239721274427,-0.021034833250802038,0.1308259245048413
upper_shadow,0.08801435397796444,0.6238504275852467,0.00741222150013485,0.07701929437111574,0.08801435397796444,0.08033513532274321,0.0636128473943212,0.06539024439822856,0.10502394728583223
lower_shadow,-0.005659523795870285,-0.02746278824504772,-0.0003342852084196851,-0.027146879195816397,-0.005659523795870285,0.0022571885624163386,0.009922870305839953,-0.11736683026474912,0.03468527135286309
close_position,-0.02811895590399222,-0.5271627796738825,-0.0010210981947791082,-0.05496080270822168,-0.02811895590399222,-0.004154336068937769,0.007000434770174914,0.009353950493279223,-0.030697503352835706
daily_sentiment,-0.06415474381330197,-0.4076355923599866,-0.0044951745026272135,-0.022930989366787644,-0.06415474381330197,-0.054342524958997905,-0.09032139334369035,0.00017478871003966397,-0.2657910089419477
ewma_7d,-0.07233464683864704,-0.6635592076504383,-0.004268322997850752,-0.022950785472037806,-0.07233464683864704,-0.061262072020759326,-0.08197642388663628,-0.055530615087503954,-0.2582193389301173
ewma_14d,-0.06860376149982587,-0.7127970721077969,-0.0054667115638058665,-0.026053817428052545,-0.06860376149982587,-0.05703127015172557,-0.07360343795561822,-0.06956385652881418,-0.21922669526006744
overnight_sentiment,-0.12136905453928622,-0.48421857726359563,-0.007082065020007869,-0.035452643403882496,-0.12136905453928622,-0.13727001170862577,-0.16774993713792588,-0.12441036426773455,-0.28902529651123515
market_sentiment,-0.04398927453435495,-0.2758373719068718,-0.0033612708712106847,-0.003881555074573013,-0.04398927453435495,-0.055376591771484435,-0.08053081783611366,0.007645478764341097,-0.2311326156291371
market_ewma_7d,-0.05704122060266608,-0.5677455996044432,0.000656356998828855,0.013381765917472647,-0.05704122060266608,-0.04821798080925503,-0.04976700654645641,-0.020513626144078003,-0.24680876145901784
market_ewma_14d,-0.07046893287909055,-0.694473220841232,-0.000813756102432775,-0.00022395060549310097,-0.07046893287909055,-0.05801140438017317,-0.05320021609078746,-0.04445082313019257,-0.19832759563835373
cross_momentum_spread,0.018195893515098358,0.07090810644623077,0.002406710639113595,0.005720173360018782,0.018195893515098358,0.01146729319187019,-0.003428321545715321,0.051971823713799464,0.08074169674312484
