date,159915.SZ,510300.SH,510500.SH,510880.SH,511260.SH,511880.SH,512000.SH,512010.SH,512480.SH,512660.SH,516160.SH,518880.SH,588000.SH
2019-01-02,1.178,3.017,4.409,2.539,106.08,100.116,0.681,1.278,,0.619,,2.837,
2019-01-03,1.164,3.017,4.398,2.532,106.257,100.179,0.696,1.243,,0.634,,2.868,
2019-01-04,1.195,3.094,4.518,2.566,106.119,100.261,0.747,1.281,,0.646,,2.853,
2019-01-07,1.214,3.107,4.596,2.591,106.007,100.319,0.745,1.287,,0.671,,2.841,
2019-01-08,1.211,3.107,4.586,2.596,106.092,100.27,0.745,1.291,,0.661,,2.828,
2019-01-09,1.21,3.13,4.583,2.608,106.172,100.205,0.748,1.309,,0.657,,2.817,
2019-01-10,1.207,3.133,4.591,2.6,106.191,100.204,0.736,1.298,,0.653,,2.823,
2019-01-11,1.209,3.156,4.615,2.611,106.184,100.222,0.744,1.298,,0.665,,2.805,
2019-01-14,1.195,3.129,4.591,2.613,106.144,100.232,0.741,1.27,,0.658,,2.807,
2019-01-15,1.216,3.188,4.655,2.631,106.1,100.235,0.76,1.31,,0.664,,2.801,
2019-01-16,1.214,3.129,4.647,2.535,106.352,100.245,0.753,1.33,,0.659,,2.803,
2019-01-17,1.198,3.112,4.61,2.528,106.539,100.246,0.744,1.323,,0.651,,2.81,
2019-01-18,1.216,3.166,4.659,2.56,106.44,100.255,0.754,1.366,,0.656,,2.811,
2019-01-21,1.222,3.183,4.676,2.571,106.3,100.265,0.749,1.365,,0.66,,2.8,
2019-01-22,1.201,3.143,4.608,2.546,106.319,100.278,0.738,1.341,,0.65,,2.799,
2019-01-23,1.197,3.135,4.613,2.549,106.221,100.295,0.736,1.34,,0.651,,2.802,
2019-01-24,1.211,3.159,4.645,2.558,106.263,100.298,0.749,1.35,,0.659,,2.8,
2019-01-25,1.214,3.183,4.622,2.566,106.113,100.317,0.748,1.35,,0.655,,2.797,
2019-01-28,1.208,3.179,4.606,2.567,106.109,100.32,0.743,1.323,,0.652,,2.823,
2019-01-29,1.192,3.193,4.545,2.578,106.181,100.346,0.737,1.334,,0.64,,2.833,
2019-01-30,1.183,3.172,4.512,2.569,106.269,100.34,0.728,1.323,,0.641,,2.842,
2019-01-31,1.178,3.202,4.483,2.585,106.351,100.359,0.737,1.328,,0.636,,2.837,
2019-02-01,1.221,3.255,4.618,2.607,106.456,100.456,0.756,1.378,,0.65,,2.852,
2019-02-11,1.264,3.3,4.718,2.622,106.641,100.446,0.769,1.404,,0.663,,2.84,
2019-02-12,1.278,3.324,4.743,2.641,106.72,100.451,0.774,1.443,,0.669,,2.851,
2019-02-13,1.301,3.393,4.83,2.672,106.779,100.458,0.801,1.464,,0.683,,2.847,
2019-02-14,1.304,3.397,4.85,2.677,106.651,100.469,0.799,1.466,,0.684,,2.843,
2019-02-15,1.302,3.341,4.816,2.638,106.779,100.482,0.782,1.444,,0.678,,2.861,
2019-02-18,1.357,3.438,5.006,2.698,106.676,100.487,0.827,1.5,,0.706,,2.876,
2019-02-19,1.346,3.429,4.984,2.694,106.587,100.507,0.834,1.495,,0.716,,2.878,
2019-02-20,1.348,3.438,4.974,2.697,106.475,100.515,0.836,1.467,,0.711,,2.898,
2019-02-21,1.355,3.434,4.979,2.679,106.401,100.521,0.843,1.455,,0.703,,2.88,
2019-02-22,1.406,3.526,5.136,2.707,106.234,100.524,0.927,1.475,,0.719,,2.86,
2019-02-25,1.492,3.775,5.479,2.825,106.114,100.51,1.02,1.534,,0.765,,2.858,
2019-02-26,1.479,3.69,5.406,2.808,105.8,100.522,0.998,1.543,,0.75,,2.856,
2019-02-27,1.458,3.67,5.363,2.806,106.0,100.568,0.989,1.531,,0.762,,2.853,
2019-02-28,1.47,3.663,5.368,2.807,106.01,100.622,0.956,1.564,,0.759,,2.833,
2019-03-01,1.5,3.738,5.432,2.835,105.96,100.671,0.987,1.577,,0.763,,2.826,
2019-03-04,1.556,3.777,5.506,2.869,105.947,100.617,0.995,1.6,,0.774,,2.784,
2019-03-05,1.615,3.809,5.666,2.884,105.84,100.607,0.995,1.598,,0.791,,2.77,
2019-03-06,1.635,3.835,5.777,2.919,105.833,100.62,1.051,1.603,,0.797,,2.784,
2019-03-07,1.621,3.793,5.824,2.91,106.176,100.639,1.104,1.575,,0.789,,2.773,
2019-03-08,1.584,3.661,5.632,2.793,106.236,100.649,0.995,1.547,,0.767,,2.799,
2019-03-11,1.658,3.71,5.838,2.83,106.232,100.655,1.01,1.6,,0.795,,2.808,
2019-03-12,1.696,3.735,5.933,2.858,106.317,100.657,1.02,1.606,,0.825,,2.808,
2019-03-13,1.618,3.713,5.793,2.837,106.373,100.699,1.002,1.599,,0.805,,2.82,
2019-03-14,1.583,3.686,5.658,2.805,106.357,100.699,0.968,1.588,,0.783,,2.815,
2019-03-15,1.589,3.735,5.72,2.832,106.394,100.703,0.981,1.607,,0.782,,2.811,
2019-03-18,1.634,3.85,5.903,2.907,106.347,100.701,1.005,1.68,,0.797,,2.807,
2019-03-19,1.633,3.822,5.892,2.904,106.401,100.708,0.994,1.656,,0.808,,2.823,
2019-03-20,1.613,3.822,5.893,2.902,106.489,100.717,1.008,1.65,,0.796,,2.819,
2019-03-21,1.627,3.824,5.958,2.917,106.486,100.733,1.022,1.651,,0.801,,2.839,
2019-03-22,1.621,3.829,6.022,2.919,106.66,100.754,1.011,1.67,,0.805,,2.833,
2019-03-25,1.598,3.734,5.935,2.876,106.889,100.781,0.973,1.632,,0.841,,2.849,
2019-03-26,1.556,3.695,5.757,2.83,107.128,100.79,0.943,1.603,,0.8,,2.85,
2019-03-27,1.568,3.727,5.828,2.875,107.09,100.785,0.948,1.657,,0.79,,2.848,
2019-03-28,1.556,3.717,5.746,2.862,106.99,100.765,0.94,1.661,,0.787,,2.842,
2019-03-29,1.624,3.869,5.942,2.919,106.88,100.782,1.02,1.71,,0.819,,2.788,
2019-04-01,1.694,3.969,6.177,2.996,106.782,100.791,1.035,1.75,,0.86,,2.788,
2019-04-02,1.682,3.962,6.172,2.994,106.429,100.819,1.031,1.732,,0.86,,2.792,
2019-04-03,1.7,4.015,6.244,3.026,106.02,100.849,1.084,1.736,,0.867,,2.797,
2019-04-04,1.701,4.062,6.301,3.061,105.725,100.907,1.085,1.736,,0.869,,2.798,
2019-04-08,1.665,4.036,6.23,3.076,105.5,100.922,1.059,1.718,,0.852,,2.81,
2019-04-09,1.667,4.06,6.257,3.069,105.533,100.911,1.059,1.749,,0.849,,2.811,
2019-04-10,1.654,4.066,6.242,3.062,105.351,100.882,1.044,1.779,,0.846,,2.825,
2019-04-11,1.619,3.996,6.136,3.035,105.565,100.888,1.023,1.732,,0.828,,2.828,
2019-04-12,1.624,3.982,6.12,3.011,105.42,100.901,1.027,1.718,,0.826,,2.8,
2019-04-15,1.596,3.957,6.039,3.005,104.86,100.914,1.005,1.697,,0.824,,2.785,
2019-04-16,1.629,4.077,6.182,3.045,104.62,100.897,1.031,1.725,,0.836,,2.785,
2019-04-17,1.642,4.067,6.193,3.049,104.895,100.915,1.023,1.722,,0.837,,2.769,
2019-04-18,1.629,4.06,6.172,3.025,104.801,100.925,1.015,1.711,,0.845,,2.751,
2019-04-19,1.645,4.12,6.225,3.032,104.911,100.938,1.027,1.721,,0.842,,2.762,
2019-04-22,1.624,4.017,6.123,2.972,104.707,100.96,1.004,1.7,,0.833,,2.772,
2019-04-23,1.61,4.01,6.008,2.945,104.539,100.969,1.009,1.699,,0.805,,2.757,
2019-04-24,1.646,4.016,6.067,2.966,104.45,100.973,1.017,1.704,,0.811,,2.754,
2019-04-25,1.598,3.933,5.851,2.899,104.529,100.971,0.989,1.686,,0.777,,2.767,
2019-04-26,1.589,3.879,5.797,2.865,104.645,100.986,0.995,1.653,,0.775,,2.773,
2019-04-29,1.549,3.894,5.654,2.847,104.49,100.979,0.952,1.686,,0.752,,2.769,
2019-04-30,1.553,3.896,5.672,2.874,104.796,101.033,0.957,1.693,,0.759,,2.777,
2019-05-06,1.424,3.673,5.254,2.741,105.09,101.06,0.864,1.596,,0.701,,2.793,
2019-05-07,1.438,3.707,5.3,2.771,105.128,101.073,0.877,1.635,,0.709,,2.787,
2019-05-08,1.419,3.659,5.277,2.741,105.212,101.078,0.866,1.616,,0.713,,2.804,
2019-05-09,1.409,3.607,5.239,2.7,105.35,101.088,0.854,1.568,,0.715,,2.806,
2019-05-10,1.465,3.72,5.416,2.76,105.53,101.093,0.892,1.612,,0.747,,2.808,
2019-05-13,1.441,3.652,5.337,2.722,105.949,101.108,0.873,1.604,,0.739,,2.826,
2019-05-14,1.431,3.634,5.316,2.706,105.81,101.115,0.862,1.589,,0.733,,2.858,
2019-05-15,1.462,3.712,5.422,2.747,105.804,101.12,0.876,1.634,,0.741,,2.844,
2019-05-16,1.468,3.73,5.471,2.76,105.87,101.12,0.879,1.643,,0.751,,2.858,
2019-05-17,1.416,3.646,5.3,2.704,105.994,101.15,0.843,1.605,,0.728,,2.854,
2019-05-20,1.407,3.606,5.26,2.691,106.006,101.148,0.85,1.576,,0.742,,2.835,
2019-05-21,1.43,3.651,5.348,2.718,105.786,101.161,0.862,1.595,,0.751,,2.834,
2019-05-22,1.427,3.642,5.331,2.715,105.699,101.163,0.853,1.59,,0.747,,2.834,
2019-05-23,1.392,3.584,5.228,2.687,105.721,101.166,0.851,1.56,,0.738,,2.841,
2019-05-24,1.384,3.59,5.199,2.687,105.651,101.183,0.852,1.552,,0.719,,2.856,
2019-05-27,1.428,3.633,5.312,2.714,105.32,101.192,0.876,1.568,,0.745,,2.858,
2019-05-28,1.432,3.65,5.301,2.715,105.543,101.204,0.872,1.58,,0.742,,2.854,
2019-05-29,1.432,3.652,5.303,2.718,105.72,101.204,0.873,1.579,,0.745,,2.861,
2019-05-30,1.422,3.65,5.287,2.718,105.826,101.22,0.861,1.567,,0.739,,2.847,
2019-05-31,1.425,3.632,5.261,2.713,105.917,101.237,0.855,1.575,,0.739,,2.878,
2019-06-03,1.411,3.64,5.22,2.701,106.114,101.244,0.856,1.577,,0.732,,2.914,
2019-06-04,1.4,3.607,5.15,2.691,106.324,101.256,0.853,1.547,,0.717,,2.944,
2019-06-05,1.393,3.599,5.132,2.702,106.473,101.259,0.86,1.493,,0.713,,2.963,
